entity	ID
October 2016	633
end of January 2017	634
Jerusalem Post	635
Israeli	636
Palestinian Authority	637
TDTESS backdoor	638
Vminst	639
NetSrv	640
Cobalt Strike loader	641
ZPP	642
Metasploit	643
Empire	644
PowerShell	645
December 2017	646
June 2018	647
Gallmaker	648
attack activity	649
LotL	650
publicly available hack tools	651
lure documents	652
DDE protocol	653
remotely execute commands	654
Facebook	655
embassies	656
government sectors	657
Gamaredon Group	658
dynamic DNS providers	659
Ukrainian	660
hosting providers	661
custom-built malware	662
PowerShell commands	663
Trend Micro	664
Gamaredon	665
batch scripts	666
SFX files	667
wget	668
Remote Manipulator Tool	669
VNC	670
ChkFlsh.exe	671
cyber-criminal gang	672
February 2015	673
Kaspersky Lab	674
Metel	675
GCMAN	676
Carbanak group	677
attack groups	678
banking institutions	679
Metel Group	680
stealing money	681
GCMAN group	682
Putty	683
Meterpreter	684
cron script	685
MS SQL injection	686
Subaat	687
targeted attack activity	688
Gorgon Group	689
Pakistan	690
360	691
Tuisec	692
Unit 42	693
Palo Alto Networks	694
February 2018	695
governmental organizations	696
United Kingdom	697
budgeting	698
accounting departments	699
URL shortening services	700
phishing components	701
Gorgon Group 's actors	702
members	703
Gorgon	704
mid-February	705
active campaign	706
criminal and targeted attacks	707
shared infrastructure	708
cybercrime and targeted attacks	709
criminal activity	710
Bitly	711
April	712
criminal operations	713
targeted attack operations	714
Microsoft Word documents	715
CVE-2017-0199	716
infrastructure utilization	717
standardization	718
criminal attacks	719
actor group	720
Honeybee	721
Word document	722
manual.doc	723
January 17	724
Visual Basic macro code	725
Singapore	726
Argentina	727
Indonesia	728
inter-Korean	729
Ke3chang	730
Syria	731
cyber espionage campaign	732
2010	733
Ke3chang actor	734
command-and-control	735
CnC	736
consulting services	737
mining sectors	738
Java zero-day vulnerability	739
CVE-2012-4681	740
CVE-2010-3333	741
Adobe PDF Reader	742
CVE-2010-2883	743
BS2005	744
BMW	745
MyWeb	746
FireEye DTI	747
MyWeb malware	748
moviestar	749
European	750
malicious activities	751
ESET	752
G20 meetings	753
APT15	754
UK	755
military technology	756
RoyalDNS	757
Ke3chang group	758
keyloggers	759
.NET tool	760
DNS based backdoor	761
RemoteExec	762
Microsoft	763
Navy	764
oil industry	765
government contractors	766
NCC Group	767
March 2018	768
APT15 group	769
DLL hijacking techniques	770
cyber actors	771
critical infrastructure sectors	772
U.S. Government	773
HIDDEN COBRA	774
malicious cyber activity	775
HIDDEN COBRA actors	776
DDoS botnets	777
remote access tools	778
RATs	779
wiper malware	780
Destover	781
Hangman	782
cybercriminals	783
Central America	784
late-2017	785
Lazarus hacking group	786
Novetta	787
Lazarus Group	788
Operation Blockbuster	789
February 2016	790
Lazarus	791
KillDisk	792
KillDisk malware	793
attacker	794
cyber-sabotage	795
covering their tracks	796
extortion	797
Lazarus Group activities	798
Bangladesh Central Bank	799
Bangladesh	800
Poland	801
Lazarus attacks	802
cyberespionage and cybersabotage activities	803
Sony Pictures Entertainment	804
espionage operations	805
Bluenoroff	806
Lazarus group	807
banking sector	808
finance	809
trading companies	810
casinos	811
watering hole attack	812
South East Asia	813
KiloAlfa	814
compromised infrastructure	815
PapaAlfa	816
PapaAlfa malware	817
malicious activity	818
installers	819
uninstallers	820
staging malware	821
Lima	822
loaders	823
Romeo	824
Sierra groups	825
HaoBao	826
Bitcoin users	827
McAfee Advanced Threat Research	828
cybercrime group	829
Bitcoin-stealing phishing campaign	830
sophisticated malware	831
ATR	832
job recruiters	833
aerospace organizations	834
obtain key military program insight	835
McAfee	836
FALLCHILL malware	837
telecommunications	838
finance industries	839
RAT	840
FALLCHILL	841
infects a system	842
HIDDEN COBRA malware	843
external tool	844
dropper	845
IOC files	846
cyber group	847
Operation GhostSecret	848
Bankshot	849
SSL certificates	850
FakeTLS	851
Destover backdoor	852
Escad	853
Sony Pictures	854
Advanced Threat Research	855
Turkish	856
Malefactors	857
February 28	858
cryptocurrency	859
Bankshot malware	860
spear phishing	861
Volgmer	862
custom tools	863
Volgmer malware	864
media industries	865
Lazarus actors	866
malware-as-a-service	867
RATANKBA	868
late 2016	869
cyberespionage attacks	870
2016 attack	871
Bangladeshi	872
cybercriminal group	873
Latin America	874
BKDR_BINLODR.ZNFJ-A	875
stealing millions	876
enterprises	877
delete files	878
install malware	879
Shadow Brokers	880
WannaCry	881
EternalBlue	882
April 14 , 2017	883
SMBv1 exploit	884
ZINC	885
security community	886
May	887
Microsoft customers	888
New Zealand	889
ZINC/Lazarus	890
Secureworks Counter Threat Unit™	891
NICKEL ACADEMY	892
malicious spearphishing campaign	893
European-based	894
cryptocurrency company	895
spearphishing campaign	896
Nickel Academy	897
custom C2 protocol	898
Leafminer	899
watering hole	900
network services	901
brute-force login	902
early June 2018	903
public web shell	904
email data	905
files	906
database servers	907
hacker	908
Sun Army	909
United Arab Emirates	910
Qatar	911
Bahrain	912
Egypt	913
Israel	914
Afghanistan	915
JavaScript code	916
compromised websites	917
Fuzzbunch	918
SMB vulnerabilities	919
Heartbleed vulnerability	920
CVE-2014-0160	921
Python script	922
hacktools	923
guess the login passwords	924
THC Hydra	925
online dictionary attacks	926
Leafminer group	927
Trojan.Imecab	928
Backdoor.Sorgu	929
Process Doppelganging	930
Dragos	931
electric utility sector	932
RASPITE	933
mid-2017	934
East Asia	935
electric utilities	936
ICS	937
clear indicators of necessary activity	938
IT	939
maritime industries	940
naval defense contractors	941
research institutions	942
Leviathan	943
Proofpoint	944
September 15	945
19 , 2017	946
spearphishing emails	947
shipbuilding company	948
August 2	949
4	950
defense contractors	951
macro-laden Microsoft Word documents	952
development organizations	953
November 2014	954
January 2015	955
espionage activities	956
cyber espionage actors	957
TEMP.Periscope	958
Microsoft Excel documents	959
universities	960
maritime industry	961
research institutes	962
academic organizations	963
private firms	964
engineering firms	965
shipping	966
transportation	967
government offices	968
research universities	969
NanHaiShu	970
TEMP.Jumper	971
APT40	972
crucial technologies	973
traditional intelligence	974
China-nexus	975
Leviathan group	976
engineering	977
naval technology	978
traditional intelligence targets	979
web shells	980
phishing campaigns	981
strategic web compromises	982
CVE-2012-0158	983
Spring Dragon group	984
spearphish exploits	985
watering holes attack	986
PDF exploits	987
Adobe Flash Player exploits	988
Word exploits	989
Tran Duy Linh	990
Spring Dragon	991
government-related organizations	992
VN	993
TW	994
PH	995
Myanmar	996
spearphish	997
Elise malware	998
DRAGONFISH	999
Lotus Blossom	1000
South China Sea	1001
iDefense	1002
CVE-2014-6332	1003
Emissary	1004
Operation Lotus Blossom campaign	1005
individual	1006
France	1007
gaining insights into relations	1008
November 10 , 2015	1009
spear-phishing email	1010
Emissary Trojan	1011
APT threat actors	1012
diplomat	1013
French	1014
French diplomat	1015
attack campaign	1016
Lotus Blossom actors	1017
militaries	1018
Elise sample	1019
higher education	1020
high tech companies	1021
cyber-espionage attacks	1022
Operation Saffron Rose	1023
Ajax Security Team	1024
Operation Woolen-Goldfish	1025
spear-phishing attacks	1026
MPK bot	1027
Magic Hound attack campaign	1028
technology sectors	1029
Magic Hound	1030
foreign governments	1031
social engineering emails	1032
Microsoft ActiveMime file	1033
deliver malicious macros	1034
network security	1035
technology infrastructure corporations	1036
APT32 actors	1037
phishing module	1038
DROPSHOT	1039
DROPSHOT samples	1040
SHAPESHIFT	1041
APT34	1042
OilRig group	1043
chemical	1044
public and non-public tools	1045
compromised accounts	1046
ALFA TEaM Shell	1047
publicly available web shell	1048
July 2017	1049
POWRUNER PowerShell-based backdoor	1050
BONDUPDATER	1051
Microsoft Office vulnerability	1052
CVE-2017-11882	1053
POWRUNER	1054
APT35	1055
Newscaster Team	1056
diplomatic	1057
business services	1058
telecommunications sectors	1059
unsophisticated tools	1060
government personnel	1061
organizations	1062
defense industrial base	1063
DIB	1064
news organizations	1065
petrochemical organizations	1066
energy company	1067
custom backdoor	1068
maintain persistence on the compromised host	1069
PupyRAT backdoor	1070
email communications	1071
steal data	1072
Mia Ash	1073
spearphishing	1074
social engineering attacks	1075
COBALT GYPSY	1076
oil	1077
financial services organizations	1078
MENA	1079
individual victims	1080
social media	1081
April 2016	1082
identify and interact with employees	1083
Excel documents	1084
PupyRAT	1085
February	1086
COBALT GYPSY campaigns	1087
Threat Group-2889	1088
attacker group	1089
spear phishing campaigns	1090
October 2015	1091
Ajax Security	1092
CrowdStrike	1093
Rocket Kitten group	1094
Check Point	1095
Spy Kittens	1096
ClearSky	1097
Behzad Mesri	1098
Oilrig1	1099
CopyKittens2	1100
aviation firms	1101
provides infrastructure	1102
Charming Kitten activity	1103
PersianDNS	1104
Mahanserver	1105
ArYaIeIrAn	1106
Charming kitten	1107
PlugX	1108
PIVY	1109
ChChes	1110
Japan Computer Emergency Response Team Coordination Center	1111
JPCERT	1112
MenuPass	1113
Sasakawa Peace Foundation	1114
White House	1115
menuPass	1116
APT campaign	1117
Stone Panda	1118
APT10	1119
extract sensitive information	1120
security firm RSA	1121
2011 campaign	1122
chemical makers	1123
customize and build their own PIVY server	1124
Attackers	1125
exfiltrate data	1126
Poison Ivy-based malware	1127
PwC UK	1128
BAE Systems	1129
managed IT service providers	1130
Operation Cloud Hopper	1131
MSPs	1132
intellectual property	1133
Poison Ivy malware family	1134
PlugX malware	1135
information collection	1136
exfiltrated a high volume of data	1137
MSP networks	1138
Red Apollo	1139
CVNX	1140
menuPass Team	1141
Trend Micro3	1142
EvilGrab malware	1143
BAE	1144
namely domain registration	1145
institutions	1146
MSP	1147
stolen intellectual property	1148
dynamic-DNS domains	1149
March 2016	1150
December 2009	1151
post-2014	1152
mimikatz	1153
PwDump	1154
DLL load order hijacking	1155
scheduled tasks	1156
Windows services	1157
compromising high value domain controllers	1158
security servers	1159
reverse shell	1160
DLL search order hijacking and sideloading	1161
PwDump6	1162
signed software	1163
MenuPass Group	1164
Moafee	1165
gas	1166
DragonOK	1167
Jiangsu Province	1168
HUC Packet Transmit Tool	1169
HTRAN	1170
DragonOK groups	1171
Guangdong Province	1172
Moafee group	1173
natural resources	1174
acquiring trade secrets	1175
manufacturing companies	1176
Molerats attacks	1177
XtremeRAT	1178
APT attacks	1179
Molerats campaign	1180
Molerats	1181
June	1182
July 2013	1183
DustySky	1184
publicly available tools	1185
Remote Administration Tools	1186
Nano Core	1187
DarkComet	1188
Spy-Net	1189
politically	1190
Gaza cybergang	1191
Molerats group	1192
Norman	1193
PwC	1194
terrorist group	1195
May 2015	1196
governmental	1197
diplomatic institutions	1198
defence Industries	1199
espionage-focused attacks	1200
restaurant	1201
services	1202
financial sectors	1203
threat actor group	1204
MuddyWater C2	1205
non-public tool	1206
DNSMessenger	1207
Morphisec	1208
DNSMessenger malware	1209
MuddyWater	1210
Seedworm	1211
September 2018	1212
Swallowtail	1213
Brazil-based	1214
embassy	1215
benefit their sponsor 's interests	1216
Powermud	1217
LaZagne	1218
Crackmapexec scripts	1219
Seedworm group	1220
Powermud backdoor	1221
Powemuddy	1222
web browsers	1223
demonstrating	1224
access to the victim 's email	1225
chat accounts	1226
Crackmapexec	1227
December 2018	1228
North America	1229
Governments	1230
Academy	1231
Crypto-Currency	1232
Telecommunications	1233
Oil sectors	1234
DeepSight Managed Adversary and Threat Intelligence	1235
MATI	1236
Backdoor.Powemuddy	1237
POWERSTATS	1238
FireEye 's Dynamic Threat Intelligence	1239
January 2018	1240
defense entities	1241
Southwest Asia	1242
espionage campaigns	1243
TEMP.Zagros	1244
Iran-nexus	1245
Seedworm actors	1246
telecommunications providers	1247
IT services agencies	1248
IT services sectors	1249
Iraq	1250
Lebanon	1251
Oman	1252
spam	1253
government bodies	1254
military entities	1255
educational institutions	1256
Jordan	1257
Azerbaijan	1258
Mali	1259
Austria	1260
MuddyWaters group	1261
Cisco Talos	1262
threat actor MuddyWater	1263
March 2019	1264
MuddyWater-associated samples	1265
MuddyWater campaign	1266
Turkey-based	1267
Hellsing APT	1268
Empire Strikes Back	1269
Naikon APT	1270
Chinese-speaking	1271
civil and military organizations	1272
Malaysia	1273
Cambodia	1274
Thailand	1275
Laos	1276
Naikon	1277
oil and gas	1278
PRC	1279
energy resources	1280
C&C server	1281
Naikon proxies	1282
stealing keystrokes	1283
network traffic	1284
spring of 2014	1285
Hellsing	1286
PROMETHIUM	1287
activity group	1288
Truvasys	1289
NEODYMIUM	1290
Wingbird	1291
early May 2016	1292
Windows Defender ATP	1293
activity groups	1294
seek information	1295
FinFisher	1296
zeroday exploit	1297
Angola	1298
Neodymium	1299
gather information	1300
June 2015	1301
Nigeria	1302
Libya	1303
Tunisia	1304
Netherlands	1305
espionage campaign	1306
Night Dragon	1307
spearphishing attacks	1308
remote administration tools	1309
Night Dragon—as	1310
network activities	1311
petrochemical companies	1312
executives	1313
Greece	1314
RAT tools	1315
development activities	1316
OilRig attack campaign	1317
Clayslide delivery documents	1318
OilRig actor	1319
Clayslide samples	1320
November 15 , 2016	1321
OilRig campaign	1322
Excel worksheets	1323
runs the malicious macro	1324
compromises the system	1325
delivery documents	1326
end of 2015	1327
December 2015	1328
technology organizations	1329
OilRig attacks	1330
legitimate service providers	1331
defense industries	1332
Helminth Trojan	1333
Nov. 14 , 2017	1334
government organization	1335
cyber espionage threat group	1336
custom PowerShell backdoor	1337
spear phishing operations	1338
social engineering tactics	1339
PowerShell-based backdoor	1340
Helix Kitten	1341
script-based backdoors	1342
PowerShell backdoor	1343
QUADAGENT	1344
ClearSky Cyber Security	1345
QUADAGENT samples	1346
Invoke-Obfuscation	1347
FireEye 's Mandiant	1348
FireEye iSIGHT Threat Intelligence	1349
Iranian Government	1350
nation-state geopolitical	1351
January 8 , 2018	1352
insurance agency	1353
January 8 attack	1354
ThreeDollars delivery document	1355
August 2017	1356
January 16 attack	1357
January 2017	1358
OopsIE Trojan	1359
spear phishing email	1360
January 2017 attack	1361
October 2017	1362
credential harvesting	1363
ISMAgent	1364
ISMAgent backdoor	1365
August 23 , 2017	1366
phishing attacks	1367
testing activities	1368
TwoFace webshells	1369
August 2018 attacks	1370
Middle eastern	1371
threat actor group OilRig	1372
Bondupdater	1373
OilRig attack	1374
N56.15.doc	1375
HELIX KITTEN	1376
Iranian-based	1377
hospitality	1378
telecommunications business	1379
HELIX KITTEN actors	1380
personnel	1381
summer of 2018	1382
early November 2018	1383
XLS files	1384
employees working in the banking sector	1385
RGDoor backdoor	1386
educational institution	1387
August 2018	1388
governmental agencies	1389
businesses	1390
PowerShell-based Trojan	1391
mid-November 2017	1392
governmental organization	1393
Sowbug	1394
government office	1395
Word documents	1396
September 2016	1397
Felismus backdoor	1398
adobecms.exe	1399
CSIDL_WINDOWS\debug	1400
Strider	1401
October 2011	1402
Remsec malware	1403
Remsec modules	1404
ProjectSauron	1405
Blackfly	1406
TA459	1407
Microsoft Word attachment	1408
ZeroT Trojan	1409
PlugX Remote Access Trojan	1410
TA549	1411
NetTraveler	1412
ZeroT	1413
Suckfly	1414
e-commerce companies	1415
Indian	1416
shipping company	1417
IT firm	1418
Taidoor attackers	1419
malicious.DOC	1420
Microsoft Common Controls vulnerability	1421
Taidoor	1422
malicious documents	1423
IP addresses	1424
TEMP.Veles	1425
TRITON	1426
TEMP.Veles'	1427
movement activities	1428
PowerShell-based tool	1429
WMImplant	1430
retrofitted with code	1431
Moscow	1432
research organization	1433
TEMP.Veles activity	1434
CNIIHM	1435
XENOTIME	1436
threat activity	1437
ICS vendors and manufacturers	1438
ICS networks	1439
TRISIS	1440
credential capture and replay	1441
PSExec	1442
Dragos'	1443
custom malware	1444
tailormade credential gathering tools	1445
Dragos WorldView	1446
research institution	1447
Threat Group-1314	1448
TG-3390	1449
People's Republic of China	1450
credential logger	1451
pharmaceuticals	1452
education	1453
legal	1454
SWCs	1455
HTTPBrowser backdoor	1456
PlugX remote access tool	1457
living off the land	1458
Group-3390	1459
U.S. defense	1460
military capability	1461
network infrastructure	1462
zero-day exploits	1463
defense technology	1464
capability intelligence	1465
political intelligence	1466
NGOs	1467
compromising organizations	1468
C2 infrastructure	1469
U.S	1470
U.S.-based C2 infrastructure	1471
adding redirect code	1472
Java exploits	1473
CVE-2011-3544	1474
CVE-2010-0738	1475
JBoss	1476
Hunter web application scanning tool	1477
DLL side loading	1478
Threat Group-3390	1479
OwaAuth web shell	1480
ChinaChopper web shells	1481
ASPXTool web shells	1482
SecureWorks® Counter Threat Unit™	1483
CTU™	1484
gsecudmp	1485
SecureWorks	1486
LuckyMouse	1487
EmissaryPanda	1488
APT27	1489
waterhole	1490
data center employees	1491
Chinese hackers	1492
Asian countries	1493
Bitcoin mining malware	1494
Iron Tiger	1495
APT 27	1496
Dell SecureWorks	1497
stealing massive amounts of industrial data	1498
Threat Group 3390	1499
Emissary Panda	1500
United	1501
Kingdom	1502
Tropic Trooper	1503
government institutions	1504
energy industry	1505
Tropic Trooper threat actor group	1506
Asia Pacific	1507
Turla	1508
spearphishing campaigns	1509
diplomats	1510
Turla operators	1511
Canada 's Communication Security Establishment	1512
CSE	1513
Turla 's operation	1514
stage backdoor	1515
Skipper	1516
Gazer	1517
Carbon	1518
Kazuar	1519
encrypted container	1520
G-Data	1521
