head_entity	relation	tail_entity	ID
APT16	target_industry	high-tech	230
APT16	target_industry	government services	231
APT16	target_industry	media	232
APT16	target_industry	financial services industries	233
high-tech	idus_located_at	Japan	234
government services	idus_located_at	Japan	235
media	idus_located_at	Japan	236
financial services industries	idus_located_at	Japan	237
high-tech	idus_located_at	Taiwan	238
government services	idus_located_at	Taiwan	239
media	idus_located_at	Taiwan	240
financial services industries	idus_located_at	Taiwan	241
APT groups	hacker_active_time	November 26 , 2015	242
APT groups	hacker_active_time	December 1 , 2015	243
APT groups	relate_to	China-based	244
APT groups	launch	spear phishing attacks	245
APT groups	target_industry	high-tech	246
APT groups	target_industry	government services	247
APT groups	target_industry	media	248
APT groups	target_industry	financial services industries	249
high-tech	idus_located_at	Japanese	250
government services	idus_located_at	Japanese	251
media	idus_located_at	Japanese	252
financial services industries	idus_located_at	Japanese	253
high-tech	idus_located_at	Taiwanese	254
government services	idus_located_at	Taiwanese	255
media	idus_located_at	Taiwanese	256
financial services industries	idus_located_at	Taiwanese	257
APT16	hacker_active_time	November 26 , 2015	258
APT16	relate_to	China-based	259
APT16	use_way	spear phishing emails	260
APT16	target_organization	financial	261
APT16	target_organization	high-tech companies	262
financial	org_located_at	Japanese	263
high-tech companies	org_located_at	Japanese	264
APT group	hacker_active_time	November 26 , 2015	265
APT group	relate_to	China-based	266
APT group	use_way	spear phishing emails	267
APT group	target_organization	financial	268
APT group	target_organization	high-tech companies	269
financial	org_located_at	Japanese	270
high-tech companies	org_located_at	Japanese	271
APT group	hacker_active_time	December	272
APT16	hacker_active_time	December	273
APT group	launch	phishing campaign	274
APT16	launch	phishing campaign	275
APT group	relate_to	China-based	276
APT16	relate_to	China-based	277
APT16 actors	use_way	spear phishing emails	278
APT16 actors	target_organization	media organizations	279
media organizations	org_located_at	Taiwanese	280
APT16	target_industry	media	281
media	idus_located_at	Taiwanese	282
APT actors	relate_to	Chinese	283
APT actors	target_organization	government agency	284
APT actors	use_way	lure document	285
government agency	org_located_at	Taiwanese	286
APT16	target_organization	government agency	287
APT16	use_tool	ELMER backdoor	288
media organizations	org_located_at	Hong Kong	289
media organizations	org_located_at	Taiwan-based	290
media organizations	org_located_at	China-based	291
APT16	target_organization	media organizations	292
APT16	relate_to	China-based	293
APT16	target_organization	government agency	294
APT16	target_organization	media organizations	295
government agency	org_located_at	Taiwanese	296
media organizations	org_located_at	Taiwanese	297
APT17	use_tool	BLACKCOFFEE malware	298
information security community	find	APT17	299
APT17	relate_to	China-based	300
FireEye Intelligence	find	APT17	301
APT17	target_organization	government entities	302
APT17	target_industry	defense industry	303
APT17	target_organization	law firms	304
APT17	target_organization	information technology companies	305
APT17	target_organization	mining companies	306
APT17	target_organization	non-government organizations	307
DeputyDog	relate_to	China-based	308
FireEye Intelligence	find	DeputyDog	309
DeputyDog	target_organization	government entities	310
DeputyDog	target_industry	defense industry	311
DeputyDog	target_organization	law firms	312
DeputyDog	target_organization	information technology companies	313
DeputyDog	target_organization	mining companies	314
DeputyDog	target_organization	non-government organizations	315
threat group	relate_to	China-based	316
FireEye Intelligence	find	threat group	317
threat group	target_organization	government entities	318
threat group	target_industry	defense industry	319
threat group	target_organization	law firms	320
threat group	target_organization	information technology companies	321
threat group	target_organization	mining companies	322
threat group	target_organization	non-government organizations	323
government entities	org_located_at	U.S.	324
defense industry	idus_located_at	U.S.	325
law firms	org_located_at	U.S.	326
information technology companies	org_located_at	U.S.	327
mining companies	org_located_at	U.S.	328
non-government organizations	org_located_at	U.S.	329
FireEye	find	APT17	330
APT17	use_tool	BLACKCOFFEE	331
APT17	hacker_active_time	2013	332
APT17	use_tool	BLACKCOFFEE	333
TG-0416	hacker_active_time	2009	334
TG-0416	target_industry	technology	335
TG-0416	target_industry	industrial	336
TG-0416	target_industry	manufacturing	337
TG-0416	target_organization	human rights groups	338
TG-0416	target_industry	government	339
TG-0416	target_industry	pharmaceutical	340
TG-0416	target_industry	medical technology	341
Advanced Persistent Threat	hacker_active_time	2009	342
Advanced Persistent Threat	target_industry	technology	343
Advanced Persistent Threat	target_industry	industrial	344
Advanced Persistent Threat	target_industry	manufacturing	345
Advanced Persistent Threat	target_organization	human rights groups	346
Advanced Persistent Threat	target_industry	government	347
Advanced Persistent Threat	target_industry	pharmaceutical	348
Advanced Persistent Threat	target_industry	medical technology	349
APT	hacker_active_time	2009	350
APT	target_industry	technology	351
APT	target_industry	industrial	352
APT	target_industry	manufacturing	353
APT	target_organization	human rights groups	354
APT	target_industry	government	355
APT	target_industry	pharmaceutical	356
APT	target_industry	medical technology	357
group	hacker_active_time	2009	358
group	target_industry	technology	359
group	target_industry	industrial	360
group	target_industry	manufacturing	361
group	target_organization	human rights groups	362
group	target_industry	government	363
group	target_industry	pharmaceutical	364
group	target_industry	medical technology	365
APT18	use_tool	hcdLoader RAT	366
Wekby group	use_tool	HTTPBrowser malware family	367
Wekby group	use_tool	HTTPBrowser	368
Wekby group	use_tool	Token Control	369
APT19	target_organization	defense sector firms	370
APT19	target_industry	political	371
APT19	target_industry	financial	372
APT19	target_industry	pharmaceutical	373
APT19	target_organization	energy sectors	374
political	idus_located_at	Chinese	375
financial	idus_located_at	Chinese	376
pharmaceutical	idus_located_at	Chinese	377
energy sectors	org_located_at	Chinese	378
APT19	target_organization	defense sector firms	379
APT19	target_industry	political	380
APT19	target_industry	financial	381
APT19	target_industry	commercial	382
APT19	target_industry	pharmaceutical	383
APT19	target_organization	energy sectors	384
political	idus_located_at	Chinese	385
financial	idus_located_at	Chinese	386
commercial	idus_located_at	Chinese	387
pharmaceutical	idus_located_at	Chinese	388
energy sectors	org_located_at	Chinese	389
FANCY BEAR	relate_to	Russian-based	390
FANCY BEAR	hacker_active_time	mid 2000s	391
FANCY BEAR	launch	intrusion campaigns	392
FANCY BEAR	target_industry	Aerospace	393
FANCY BEAR	target_industry	Defense	394
FANCY BEAR	target_industry	Energy	395
FANCY BEAR	target_industry	Government	396
FANCY BEAR	target_organization	Media sectors	397
Sofacy	relate_to	Russian-based	398
Sofacy	hacker_active_time	mid 2000s	399
Sofacy	launch	intrusion campaigns	400
Sofacy	target_industry	Aerospace	401
Sofacy	target_industry	Defense	402
Sofacy	target_industry	Energy	403
Sofacy	target_industry	Government	404
Sofacy	target_organization	Media sectors	405
APT 28	relate_to	Russian-based	406
APT 28	hacker_active_time	mid 2000s	407
APT 28	launch	intrusion campaigns	408
APT 28	target_industry	Aerospace	409
APT 28	target_industry	Defense	410
APT 28	target_industry	Energy	411
APT 28	target_industry	Government	412
APT 28	target_organization	Media sectors	413
threat actor	relate_to	Russian-based	414
threat actor	hacker_active_time	mid 2000s	415
threat actor	launch	intrusion campaigns	416
threat actor	target_industry	Aerospace	417
threat actor	target_industry	Defense	418
threat actor	target_industry	Energy	419
threat actor	target_industry	Government	420
threat actor	target_organization	Media sectors	421
APT28	target_industry	government	422
government	idus_located_at	Eastern European	423
threat actors	relate_to	Russian	424
threat actors	have_purpose	steal information	425
espionage groups	relate_to	Russian	426
APT28	relate_to	Russian	427
APT28	relate_to	Russian	428
APT28	relate_to	Russian	429
APT28	relate_to	Russian	430
APT28	relate_to	Russian	431
APT28	relate_to	Russian	432
APT28	relate_to	Russian	433
APT28	relate_to	Russian	434
APT28	relate_to	Russian	435
TG-4127	target_industry	military	436
TG-4127	target_industry	government	437
TG-4127	target_organization	defense sectors	438
APT28	use_tool	SOURFACE downloader	439
APT28	use_tool	EVILTOSS	440
APT28	use_tool	modular family of implants	441
APT28	use_tool	CHOPSTICK	442
TG-4127	relate_to	Russia	443
TG-4127	relate_to	former Soviet	444
TG-4127	launch	campaign	445
TG-4127	relate_to	Russian	446
CTU	find	group	447
group	relate_to	Russian	448
group	relate_to	Russian	449
APT28	relate_to	Russian	450
APT28	relate_to	Russian	451
APT28	target_industry	government	452
APT28	launch	activities	453
group	relate_to	Russian	454
group	target_industry	government	455
group	launch	activities	456
APT28	hacker_active_time	2007	457
APT28	relate_to	Russian	458
APT28	relate_to	Russia	459
APT28	relate_to	Russian	460
APT28	target_organization	political organization	461
Department of Homeland Security	sec_active_time	December 29 , 2016	462
DHS	sec_active_time	December 29 , 2016	463
FBI	sec_active_time	December 29 , 2016	464
APT28	hacker_active_time	December 29 , 2016	465
Department of Homeland Security	find	APT28	466
DHS	find	APT28	467
FBI	find	APT28	468
FireEye	find	APT28	469
APT28	relate_to	Russian	470
FireEye	sec_active_time	October 2014	471
APT28	hacker_active_time	October 2014	472
APT28	hacker_active_time	October 2014	473
FireEye	find	APT28	474
FireEye	find	APT28	475
APT28	relate_to	Russia	476
APT28	launch	Cyber Espionage Operations	477
APT28	launch	activity	478
APT28	relate_to	Russian	479
APT28	relate_to	Russia	480
APT28	launch	Cyber Espionage Operations	481
APT28	launch	activity	482
APT28	relate_to	Russian	483
APT28	relate_to	Russian	484
APT28	target_organization	rockers	485
APT28	target_organization	dissidents	486
APT28	use_way	spear-phishing emails	487
rockers	org_located_at	Russian	488
dissidents	org_located_at	Russian	489
APT28	relate_to	Russia	490
APT28	hacker_active_time	2014	491
APT28	relate_to	Russian	492
APT28	hacker_active_time	2014	493
espionage actor	hacker_active_time	2014	494
APT28	relate_to	Russian	495
espionage actor	relate_to	Russian	496
APT28	hacker_active_time	2014	497
APT28	relate_to	Russia	498
APT28	launch	Cyber Espionage Operations	499
espionage group	relate_to	U.S.	500
Department of Homeland Security	find	espionage group	501
DHS	find	espionage group	502
FBI	find	espionage group	503
espionage group	relate_to	Russian	504
espionage group	have_purpose	intelligence-gathering	505
espionage group	hacker_active_time	2017	506
espionage group	hacker_active_time	2018	507
espionage group	target_industry	military	508
espionage group	target_industry	government	509
espionage group	relate_to	Europe	510
espionage group	relate_to	South America	511
military	idus_located_at	Europe	512
military	idus_located_at	South America	513
government	idus_located_at	Europe	514
government	idus_located_at	South America	515
APT28	relate_to	Russian	516
APT28	have_purpose	intelligence-gathering	517
APT28	hacker_active_time	2017	518
APT28	hacker_active_time	2018	519
APT28	target_industry	military	520
APT28	target_industry	government	521
APT28	relate_to	Europe	522
APT28	relate_to	South America	523
military	idus_located_at	Europe	524
military	idus_located_at	South America	525
government	idus_located_at	Europe	526
government	idus_located_at	South America	527
attack group	hacker_active_time	May 2016	528
attack group	have_purpose	intelligence gathering	529
attack group	relate_to	Europe	530
attack group	relate_to	Central Asia	531
attack group	relate_to	Eastern Asia	532
Earworm	hacker_active_time	May 2016	533
Earworm	have_purpose	intelligence gathering	534
Earworm	relate_to	Europe	535
Earworm	relate_to	Central Asia	536
Earworm	relate_to	Eastern Asia	537
Zebrocy	hacker_active_time	May 2016	538
Zebrocy	have_purpose	intelligence gathering	539
Zebrocy	relate_to	Europe	540
Zebrocy	relate_to	Central Asia	541
Zebrocy	relate_to	Eastern Asia	542
APT28	relate_to	Russia	543
group	relate_to	Russia	544
APT28	relate_to	Ukraine	545
APT28	relate_to	Spain	546
APT28	relate_to	Russia	547
APT28	relate_to	Romania	548
APT28	relate_to	United States	549
APT28	relate_to	Canada	550
operators	relate_to	Russian	551
operators	target_organization	citizens	552
operators	target_organization	citizens	553
operators	relate_to	Russian	554
APT28	relate_to	Russian	555
APT28	target_organization	citizens	556
APT28	target_organization	citizens	557
APT28	relate_to	Russian	558
citizens	org_located_at	Russian	559
citizens	org_located_at	Russian	560
FireEye	sec_active_time	October 2014	561
FireEye	find	group	562
group	relate_to	Russian	563
military	idus_located_at	US	564
APT28	relate_to	US	565
APT28	target_industry	military	566
APT28	relate_to	Russian	567
APT28	target_industry	geopolitical	568
Sofacy group	hacker_active_time	2013	569
Sofacy group	use_tool	CORESHELL	570
Sofacy group	use_tool	SPLM	571
Sofacy group	use_tool	JHUHUGIT	572
Sofacy group	use_tool	AZZY	573
Sofacy group	hacker_active_time	2013	574
Sofacy group	use_tool	CORESHELL	575
Sofacy group	use_tool	SPLM	576
Sofacy group	use_tool	Xagent	577
Sofacy group	use_tool	CHOPSTICK	578
Sofacy group	use_tool	JHUHUGIT	579
Sofacy group	use_tool	Carberp	580
Sofacy group	use_tool	AZZY	581
Sofacy group	use_tool	EVILTOSS	582
Sofacy group	exploit	Flash exploits	583
Sofacy group	use_tool	Carberp	584
Sofacy group	use_tool	JHUHUGIT downloaders	585
APT28	exploit	Flash exploits	586
APT28	use_tool	Carberp	587
APT28	use_tool	JHUHUGIT downloaders	588
group	exploit	Flash exploits	589
group	use_tool	Carberp	590
group	use_tool	JHUHUGIT downloaders	591
FireEye	find	actor APT28	592
actor APT28	launch	campaign	593
actor APT28	target_organization	hospitality sector	594
actor APT28	relate_to	Russian	595
APT28	exploit	EternalBlue exploit	596
APT28	use_tool	open source tool	597
APT28	use_tool	Responder	598
APT28	have_purpose	spread laterally through networks	599
APT28	use_tool	Responder	600
Sofacy group	use_tool	backdoor tools	601
Sofacy group	use_tool	Zebrocy	602
Sofacy group	launch	attack campaigns	603
Sofacy group	use_tool	Cannon tool	604
Fancy Bear	use_tool	Cannon tool	605
APT28	use_tool	Cannon tool	606
STRONTIUM	use_tool	Cannon tool	607
Pawn Storm	use_tool	Cannon tool	608
Sednit	use_tool	Cannon tool	609
Sofacy group	target_industry	government	610
Sofacy group	hacker_active_time	mid-October 2018	611
Sofacy group	hacker_active_time	mid-November 2018	612
Fancy Bear	target_industry	government	613
Fancy Bear	hacker_active_time	mid-October 2018	614
Fancy Bear	hacker_active_time	mid-November 2018	615
APT28	target_industry	government	616
APT28	hacker_active_time	mid-October 2018	617
APT28	hacker_active_time	mid-November 2018	618
STRONTIUM	target_industry	government	619
STRONTIUM	hacker_active_time	mid-October 2018	620
STRONTIUM	hacker_active_time	mid-November 2018	621
Pawn Storm	target_industry	government	622
Pawn Storm	hacker_active_time	mid-October 2018	623
Pawn Storm	hacker_active_time	mid-November 2018	624
Sednit	target_industry	government	625
Sednit	hacker_active_time	mid-October 2018	626
Sednit	hacker_active_time	mid-November 2018	627
citizens—journalists	org_located_at	Russian	628
software developers	org_located_at	Russian	629
politicians	org_located_at	Russian	630
researchers at universities	org_located_at	Russian	631
artists	org_located_at	Russian	632
Pawn Storm	relate_to	Russian	633
Pawn Storm	target_organization	citizens—journalists	634
Pawn Storm	target_organization	software developers	635
Pawn Storm	target_organization	politicians	636
Pawn Storm	target_organization	researchers at universities	637
Pawn Storm	target_organization	artists	638
Sofacy	use_tool	backdoors	639
Sofacy	use_tool	USB stealers	640
Sofacy	use_tool	Mimikatz	641
Sofacy threat group	target_organization	government organizations	642
Sofacy threat group	relate_to	EU	643
Sofacy threat group	relate_to	US	644
Sofacy threat group	relate_to	former Soviet	645
Sofacy threat group	use_tool	Zebrocy tool	646
government organizations	org_located_at	EU	647
government organizations	org_located_at	US	648
government organizations	org_located_at	former Soviet	649
Sofacy group	use_tool	Trojan	650
Sofacy group	use_tool	Cannon	651
Sofacy	use_tool	Komplex	652
Sofacy	use_tool	Komplex	653
Sofacy	use_tool	Carberp	654
Sofacy	launch	attack campaigns	655
Sofacy	use_tool	Carberp	656
Sofacy	launch	attack campaigns	657
Sofacy group	use_tool	Komplex Trojan	658
Sofacy group	launch	attack campaigns	659
Sofacy group	launch	attacks	660
Sofacy	use_tool	Komplex Trojan	661
Sofacy	use_tool	Carberp	662
Dukes	use_tool	MiniDuke	663
cyberespionage group	use_tool	MiniDuke	664
Dukes	use_tool	CosmicDuke	665
cyberespionage group	use_tool	CosmicDuke	666
Dukes	use_tool	OnionDuke	667
cyberespionage group	use_tool	OnionDuke	668
Dukes	use_tool	CozyDuke	669
cyberespionage group	use_tool	CozyDuke	670
Dukes	relate_to	Russian	671
Dukes	hacker_active_time	2008	672
Dukes	have_purpose	collect intelligence	673
cyberespionage group	relate_to	Russian	674
cyberespionage group	hacker_active_time	2008	675
cyberespionage group	have_purpose	collect intelligence	676
Dukes	relate_to	Russian	677
Dukes	hacker_active_time	2008	678
Dukes	have_purpose	collect intelligence	679
cyberespionage group	relate_to	Russian	680
cyberespionage group	hacker_active_time	2008	681
cyberespionage group	have_purpose	collect intelligence	682
Dukes	use_tool	MiniDuke	683
Dukes	use_tool	CosmicDuke	684
Dukes	use_tool	OnionDuke	685
Dukes	use_tool	CozyDuke	686
Dukes	use_tool	CloudDuke	687
Dukes	use_tool	SeaDuke	688
Dukes	use_tool	HammerDuke	689
Dukes	use_tool	PinchDuke	690
Dukes	use_tool	GeminiDuke	691
group	use_tool	MiniDuke	692
threat actor	use_tool	MiniDuke	693
Dukes	use_tool	MiniDuke	694
Dukes group	launch	campaign	695
Dukes group	use_tool	PinchDuke samples	696
Dukes group	hacker_active_time	2009	697
Dukes group	target_industry	Ministry of Defense	698
Dukes group	target_organization	ministries of foreign affairs	699
Dukes group	relate_to	Turkey	700
Dukes group	relate_to	Uganda	701
Ministry of Defense	idus_located_at	Turkey	702
Ministry of Defense	idus_located_at	Uganda	703
ministries of foreign affairs	org_located_at	Turkey	704
ministries of foreign affairs	org_located_at	Uganda	705
Dukes group	use_tool	PinchDuke trojan samples	706
Dukes group	launch	campaign	707
Dukes group	launch	attack campaigns	708
Dukes group	use_tool	CosmicDuke	709
Dukes group	use_tool	PinchDuke	710
Dukes group	use_tool	MiniDuke	711
Dukes	hacker_active_time	2011	712
Dukes	use_tool	MiniDuke	713
Dukes	use_tool	CozyDuke	714
Dukes group	hacker_active_time	February 2013	715
Dukes group	use_tool	MiniDuke	716
Dukes	launch	MiniDuke campaigns	717
threat actors	relate_to	Russian	718
threat actors	launch	Operation Pawn Storm	719
threat actors	relate_to	Ukraine	720
Dukes	relate_to	Ukraine	721
Dukes	relate_to	Russia	722
Dukes	relate_to	Russia	723
Dukes	relate_to	Ukraine	724
Dukes	relate_to	Ukraine	725
Dukes	relate_to	Russia	726
Dukes	relate_to	Russia	727
Dukes	relate_to	Ukraine	728
Dukes group	use_tool	CosmicDuke	729
Dukes group	hacker_active_time	spring of 2015	730
Dukes	use_tool	CosmicDuke	731
Dukes	launch	CozyDuke campaigns	732
Dukes	use_tool	SeaDuke	733
Dukes	use_tool	HammerDuke	734
group	launch	MiniDuke campaigns	735
group	hacker_active_time	February 2013	736
group	launch	CosmicDuke campaigns	737
group	hacker_active_time	summer of 2014	738
Dukes	launch	campaigns	739
Dukes	launch	CozyDuke	740
Dukes	launch	CloudDuke	741
Dukes	launch	campaigns	742
Dukes	use_tool	CosmicDuke	743
group	exploit	CVE-2013-0640	744
group	use_tool	MiniDuke	745
group	exploit	zero-day	746
group	relate_to	Russian	747
group	use_tool	GeminiDuke samples	748
group	use_tool	GeminiDuke	749
Mandiant	find	attackers	750
Mandiant	find	APT29	751
attackers	relate_to	Russian	752
APT29	relate_to	Russian	753
APT29	use_tool	The Onion Router	754
APT29	use_tool	TOR domain fronting plugin meek	755
APT29	target_organization	Google	756
Mandiant	find	APT29	757
APT29	use_tool	POSHSPY	758
Mandiant	find	APT29	759
APT29	use_tool	POSHSPY	760
Mandiant	find	APT29	761
APT29	use_tool	POSHSPY	762
APT29	use_tool	POSHSPY	763
FireEye	find	APT32	764
APT32	relate_to	Vietnamese	765
APT32	relate_to	Vietnam	766
APT32	target_industry	governments	767
APT32	relate_to	Vietnamese	768
APT32	target_organization	dissidents	769
APT32	target_organization	journalists	770
APT32	hacker_active_time	2013	771
dissidents	org_located_at	Vietnamese	772
journalists	org_located_at	Vietnamese	773
APT32	hacker_active_time	2016	774
APT32	hacker_active_time	2017	775
consumer products corporations	org_located_at	U.S.	776
APT32	relate_to	U.S.	777
consumer products corporations	org_located_at	Vietnam	778
APT32	target_organization	consumer products corporations	779
APT32	relate_to	Vietnam	780
APT32	hacker_active_time	2016	781
APT32	hacker_active_time	2017	782
consumer products corporations	org_located_at	Vietnam	783
APT32	target_organization	consumer products corporations	784
APT32	relate_to	Vietnam	785
APT32	hacker_active_time	2014	786
APT32	use_way	spear-phishing attachment	787
APT32	have_file	Vietnam.exe	788
APT32	launch	activity	789
APT32	relate_to	Vietnamese	790
APT32	target_organization	diaspora	791
APT32	relate_to	Southeast Asia	792
diaspora	org_located_at	Vietnamese	793
diaspora	org_located_at	Southeast Asia	794
FireEye	sec_active_time	2015	795
APT32	hacker_active_time	2015	796
